Escherichia coli str. K-12 substr. MG1655, complete genome. - 1..4641652
4140 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
71351..72115	+	254	1786252	yabI	b0065	-	-	DedA family inner membrane protein
72229..72927	-	232	1786253	thiQ	b0066	-	-	thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer
72911..74521	-	536	1786254	thiP	b0067	-	-	thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer
74497..75480	-	327	1786255	thiB	b0068	-	-	thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer
75644..77299	-	551	1786256	sgrR	b0069	-	-	transcriptional DNA-binding transcriptional activator of sgrS sRNA
77388..77519	+	43	226510924	sgrT	b4662	-	-	inhibitor of glucose uptake
77621..78799	+	392	48994875	setA	b0070	-	-	broad specificity sugar efflux system
78848..79453	-	201	1786258	leuD	b0071	-	-	3-isopropylmalate dehydratase small subunit
79464..80864	-	466	1786259	leuC	b0072	-	-	3-isopropylmalate dehydratase large subunit
80867..81958	-	363	87081683	leuB	b0073	-	-	3-isopropylmalate dehydrogenase, NAD(+)-dependent
81958..83529	-	523	1786261	leuA	b0074	-	-	2-isopropylmalate synthase
83622..83708	-	28	1786263	leuL	b0075	-	-	leu operon leader peptide
84368..85312	+	314	87081684	leuO	b0076	-	-	global transcription factor
85630..87354	+	574	87081685	ilvI	b0077	-	-	acetolactate synthase 3 large subunit
87357..87848	+	163	1786266	ilvH	b0078	-	-	acetolactate synthase 3, small subunit, valine-sensitive
88028..89032	+	334	1786268	cra	b0080	-	-	transcriptional repressor-activator for carbon metabolism
89634..90092	+	152	1786269	mraZ	b0081	-	-	RsmH methytransferase inhibitor
90094..91035	+	313	1786270	rsmH	b0082	-	-	16S rRNA m(4)C1402 methyltransferase, SAM-dependent
91032..91397	+	121	1786271	ftsL	b0083	-	-	membrane bound cell division protein at septum containing leucine zipper motif
91413..93179	+	588	1786272	ftsI	b0084	-	-	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
93166..94653	+	495	1786273	murE	b0085	-	-	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
94650..96008	+	452	1786274	murF	b0086	-	-	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
96002..97084	+	360	1786275	mraY	b0087	-	-	phospho-N-acetylmuramoyl-pentapeptide transferase
97087..98403	+	438	1786276	murD	b0088	-	-	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
98403..99647	+	414	1786277	ftsW	b0089	-	-	lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division
99644..100711	+	355	1786278	murG	b0090	-	-	N-acetylglucosaminyl transferase
100765..102240	+	491	1786279	murC	b0091	-	-	UDP-N-acetylmuramate:L-alanine ligase
102233..103153	+	306	1786280	ddlB	b0092	-	-	D-alanine:D-alanine ligase
103155..103985	+	276	1786281	ftsQ	b0093	-	-	divisome assembly protein, membrane anchored protein involved in growth of wall at septum
103982..105244	+	420	1786282	ftsA	b0094	-	-	ATP-binding cell division protein involved in recruitment of FtsK to Z ring
105305..106456	+	383	1786284	ftsZ	b0095	-	-	GTP-binding tubulin-like cell division protein
106557..107474	+	305	1786285	lpxC	b0096	-	-	UDP-3-O-acyl N-acetylglucosamine deacetylase
107705..108217	+	170	87081686	secM	b0097	-	-	regulator of secA translation
108279..110984	+	901	1786287	secA	b0098	-	-	preprotein translocase subunit, ATPase
111044..111433	+	129	1786288	mutT	b0099	-	-	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP
111649..111846	-	65	1786290	yacG	b0101	-	-	DNA gyrase inhibitor
111856..112599	-	247	1786291	zapD	b0102	-	-	FtsZ stabilizer
112599..113219	-	206	1786292	coaE	b0103	-	-	dephospho-CoA kinase
113444..114487	+	347	1786293	guaC	b0104	-	-	GMP reductase
114522..115724	-	400	1786295	hofC	b0106	-	-	assembly protein in type IV pilin biogenesis, transmembrane protein
115714..117099	-	461	1786296	hofB	b0107	-	-	T2SE secretion family protein; P-loop ATPase superfamily protein
117109..117549	-	146	1786297	ppdD	b0108	-	-	putative prepilin peptidase-dependent pilin
117752..118645	-	297	1786299	nadC	b0109	-	-	quinolinate phosphoribosyltransferase
118733..119284	+	183	1786300	ampD	b0110	-	-	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
119281..120135	+	284	1786301	ampE	b0111	-	-	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation
120178..121551	-	457	1786302	aroP	b0112	-	-	aromatic amino acid transporter
122092..122856	+	254	1786303	pdhR	b0113	-	-	pyruvate dehydrogenase complex repressor; autorepressor
123017..125680	+	887	1786304	aceE	b0114	-	-	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding
125695..127587	+	630	1786305	aceF	b0115	-	-	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
127912..129336	+	474	1786307	lpd	b0116	-	-	lipoamide dehydrogenase, E3 component is part of three enzyme complexes
129407..131260	-	617	1786308	yacH	b0117	-	-	uncharacterized protein
131615..134212	+	865	2367097	acnB	b0118	-	-	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
134388..134750	+	120	87081687	yacL	b0119	-	-	UPF0231 family protein
134788..135582	-	264	1786311	speD	b0120	-	-	S-adenosylmethionine decarboxylase
135598..136464	-	288	1786312	speE	b0121	-	-	spermidine synthase (putrescine aminopropyltransferase)
136570..136917	-	115	87081688	yacC	b0122	-	-	PulS_OutS family protein
137083..138633	+	516	1786314	cueO	b0123	-	-	multicopper oxidase (laccase)
138835..141225	-	796	1786316	gcd	b0124	-	-	glucose dehydrogenase
141431..141967	+	178	87081689	hpt	b0125	-	-	hypoxanthine phosphoribosyltransferase
142008..142670	-	220	1786318	can	b0126	-	-	carbonic anhydrase
142779..143705	+	308	1786319	yadG	b0127	-	-	putative ABC superfamily transporter ATP-binding subunit
143702..144472	+	256	1786320	yadH	b0128	-	-	inner membrane putative ABC superfamily transporter permease
144577..145017	+	146	1786321	yadI	b0129	-	-	putative PTS Enzyme IIA
145081..146310	+	409	1786322	yadE	b0130	-	-	putative polysaccharide deacetylase lipoprotein
146314..146694	-	126	1786323	panD	b0131	-	-	aspartate 1-decarboxylase
146968..147870	+	300	1786324	yadD	b0132	-	-	transposase_31 family protein
147944..148795	-	283	1786325	panC	b0133	-	-	pantothenate synthetase
148807..149601	-	264	1786326	panB	b0134	-	-	3-methyl-2-oxobutanoate hydroxymethyltransferase
149715..150953	-	412	1786328	yadC	b0135	-	-	putative fimbrial-like adhesin protein
151003..151599	-	198	1786329	yadK	b0136	-	-	putative fimbrial-like adhesin protein
151626..152231	-	201	1786330	yadL	b0137	-	-	putative fimbrial-like adhesin protein
152243..152812	-	189	87081690	yadM	b0138	-	-	putative fimbrial-like adhesin protein
152829..155426	-	865	1786332	htrE	b0139	-	-	putative outer membrane usher protein
155461..156201	-	246	1786333	yadV	b0140	-	-	putative periplasmic pilin chaperone
156299..156883	-	194	1786334	yadN	b0141	-	-	putative fimbrial-like adhesin protein
157253..157732	-	159	1786335	folK	b0142	-	-	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
157729..159126	-	465	87081691	pcnB	b0143	-	-	poly(A) polymerase
159186..160112	-	308	226510925	gluQ	b0144	-	-	glutamyl-Q tRNA(Asp) synthetase
160149..160604	-	151	1786338	dksA	b0145	-	-	transcriptional regulator of rRNA transcription, DnaK suppressor protein
160782..161486	-	234	1786340	sfsA	b0146	-	-	sugar fermentation stimulation protein A
161501..162031	-	176	87081692	ligT	b0147	-	-	2'-5' RNA ligase
162105..164534	+	809	87081693	hrpB	b0148	-	-	putative ATP-dependent helicase
164730..167264	+	844	1786343	mrcB	b0149	-	-	fused glycosyl transferase and transpeptidase
167484..169727	+	747	1786344	fhuA	b0150	-	-	ferrichrome outer membrane transporter
169778..170575	+	265	1786345	fhuC	b0151	-	-	iron-hydroxamate transporter subunit
170575..171465	+	296	1786346	fhuD	b0152	-	-	iron-hydroxamate transporter subunit
171462..173444	+	660	1786347	fhuB	b0153	-	-	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
173602..174882	-	426	1786349	hemL	b0154	-	-	glutamate-1-semialdehyde aminotransferase (aminomutase)
175107..176528	+	473	1786350	clcA	b0155	-	-	H(+)/Cl(-) exchange transporter
176610..176954	+	114	1786351	erpA	b0156	-	-	iron-sulfur cluster insertion protein
177001..177624	-	207	1786352	yadS	b0157	-	-	UPF0126 family inner membrane protein
177662..178462	-	266	1786353	btuF	b0158	-	-	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily
178455..179153	-	232	1786354	mtn	b0159	-	-	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
179237..180754	+	505	1786355	dgt	b0160	-	-	deoxyguanosine triphosphate triphosphohydrolase
180884..182308	+	474	1786356	degP	b0161	-	-	serine endoprotease (protease Do), membrane-associated
182463..183620	+	385	87081694	cdaR	b0162	-	-	carbohydrate diacid regulon transcriptional regulator; autoregulator
183709..184095	-	128	1786359	yaeH	b0163	-	-	UPF0325 family protein
184257..185069	-	270	87081695	yaeI	b0164	-	-	phosphodiesterase with model substrate bis-pNPP
185123..185947	-	274	1786362	dapD	b0166	-	-	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
185978..188650	-	890	1786363	glnD	b0167	-	-	uridylyltransferase
188712..189506	-	264	1786364	map	b0168	-	-	methionine aminopeptidase
189874..190599	+	241	1786365	rpsB	b0169	-	-	30S ribosomal subunit protein S2
190857..191708	+	283	1786366	tsf	b0170	-	-	translation elongation factor EF-Ts
191855..192580	+	241	1786367	pyrH	b0171	-	-	uridylate kinase
192872..193429	+	185	1786368	frr	b0172	-	-	ribosome recycling factor
193521..194717	+	398	1786369	dxr	b0173	-	-	1-deoxy-D-xylulose 5-phosphate reductoisomerase
194903..195664	+	253	1786371	ispU	b0174	-	-	undecaprenyl pyrophosphate synthase
195677..196534	+	285	87081696	cdsA	b0175	-	-	CDP-diglyceride synthase
196546..197898	+	450	1786373	rseP	b0176	-	-	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease
197928..200360	+	810	1786374	bamA	b0177	-	-	BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor
200482..200967	+	161	1786375	skp	b0178	-	-	periplasmic chaperone
200971..201996	+	341	1786376	lpxD	b0179	-	-	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
202101..202556	+	151	1786377	fabZ	b0180	-	-	(3R)-hydroxymyristol acyl carrier protein dehydratase
202560..203348	+	262	1786378	lpxA	b0181	-	-	UDP-N-acetylglucosamine acetyltransferase
203348..204496	+	382	1786379	lpxB	b0182	-	-	tetraacyldisaccharide-1-P synthase
204493..205089	+	198	1786380	rnhB	b0183	-	-	ribonuclease HII, degrades RNA of DNA-RNA hybrids
205126..208608	+	1160	1786381	dnaE	b0184	-	-	DNA polymerase III alpha subunit
208621..209580	+	319	1786382	accA	b0185	-	-	acetyl-CoA carboxylase, carboxytransferase, alpha subunit
209679..211820	+	713	1786384	ldcC	b0186	-	-	lysine decarboxylase 2, constitutive
211877..212266	+	129	87081697	yaeR	b0187	-	-	putative lyase
212331..213629	+	432	1786386	tilS	b0188	-	-	tRNA(Ile)-lysidine synthetase
213678..213932	-	84	87081698	rof	b0189	-	-	modulator of Rho-dependent transcription termination
213925..214125	-	66	48994876	yaeP	b4406	-	-	UPF0253 family protein
214291..214836	+	181	1786388	yaeQ	b0190	-	-	PDDEXK superfamily protein
214833..215255	+	140	1786389	arfB	b0191	-	-	alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached
215269..215979	+	236	1786390	nlpE	b0192	-	-	lipoprotein involved with copper homeostasis and adhesion
216179..217003	-	274	87081699	yaeF	b0193	-	-	putative lipoprotein
217057..218775	-	572	1786392	proS	b0194	-	-	prolyl-tRNA synthetase
218887..219594	-	235	1786393	tsaA	b0195	-	-	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent
219591..219995	-	134	1786394	rcsF	b0196	-	-	putative outer membrane protein
220113..220928	-	271	1786396	metQ	b0197	-	-	DL-methionine transporter subunit
220968..221621	-	217	1786397	metI	b0198	-	-	DL-methionine transporter subunit
221614..222645	-	343	1786398	metN	b0199	-	-	DL-methionine transporter subunit
222833..223408	+	191	1786399	gmhB	b0200	-	-	D,D-heptose 1,7-bisphosphate phosphatase
229167..229970	+	267	1786400	dkgB	b0207	-	-	2,5-diketo-D-gluconate reductase B
229967..230881	-	304	1786401	yafC	b0208	-	-	LysR family putative transcriptional regulator
231122..231922	+	266	1786403	yafD	b0209	-	-	endo/exonuclease/phosphatase family protein
231926..232549	+	207	1786404	yafE	b0210	-	-	putative S-adenosyl-L-methionine-dependent methyltransferase
232597..233955	-	452	1786405	mltD	b0211	-	-	putative membrane-bound lytic murein transglycosylase D
234027..234782	-	251	1786406	gloB	b0212	-	-	hydroxyacylglutathione hydrolase
234816..235538	+	240	87081700	yafS	b0213	-	-	putative S-adenosyl-L-methionine-dependent methyltransferase
235535..236002	-	155	1786408	rnhA	b0214	-	-	ribonuclease HI, degrades RNA of DNA-RNA hybrids
236067..236798	+	243	1786409	dnaQ	b0215	-	-	DNA polymerase III epsilon subunit
237335..238120	+	261	1786410	yafT	b0217	-	-	lipoprotein
238257..238736	-	159	145693093	ykfM	b4586	-	-	lethality reduction protein, putative inner membrane protein
239419..240189	-	256	1786412	yafV	b0219	-	-	putative NAD(P)-binding C-N hydrolase family amidase
240343..240816	+	157	1786413	ivy	b0220	-	-	inhibitor of c-type lysozyme, periplasmic
240859..243303	-	814	87081702	fadE	b0221	-	-	acyl coenzyme A dehydrogenase
243543..244121	+	192	1786416	gmhA	b0222	-	-	D-sedoheptulose 7-phosphate isomerase
244327..245094	+	255	1786417	yafJ	b0223	-	-	putative amidotransfease
245065..245805	-	246	1786418	yafK	b0224	-	-	L,D-transpeptidase-related protein
245961..246239	-	92	1786419	yafQ	b0225	-	-	translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ
246242..246502	-	86	1786420	dinJ	b0226	-	-	antitoxin of YafQ-DinJ toxin-antitoxin system
246712..247461	+	249	1786421	yafL	b0227	-	-	putative lipoprotein and C40 family peptidase
247637..248134	+	165	1786422	rayT	b0228	-	-	RAYT REP element-mobilizing transposase; TnpA(REP)
250898..251953	+	351	1786425	dinB	b0231	-	-	DNA polymerase IV
252005..252298	+	97	1786426	yafN	b0232	-	-	antitoxin of the YafO-YafN toxin-antitoxin system
252301..252699	+	132	1786427	yafO	b0233	-	-	mRNA interferase toxin of the YafO-YafN toxin-antitoxin system
252709..253161	+	150	1786428	yafP	b0234	-	-	putative acyl-CoA transferase
254259..255716	-	485	1786432	pepD	b0237	-	-	aminoacyl-histidine dipeptidase (peptidase D)
255977..256435	+	152	1786433	gpt	b0238	-	-	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase
256527..257771	+	414	1786434	frsA	b0239	-	-	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity
259045..260100	-	351	1786436	phoE	b0241	-	-	outer membrane phosphoporin protein E
260388..261491	+	367	1786437	proB	b0242	-	-	gamma-glutamate kinase
261503..262756	+	417	1786438	proA	b0243	-	-	gamma-glutamylphosphate reductase
263328..263669	-	113	1786439	ykfI	b0245	-	-	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
263690..264007	-	105	1786440	yafW	b0246	-	-	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system
264026..264247	-	73	87081704	ykfH	b4504	-	-	uncharacterized protein
264256..264732	-	158	2367100	ykfG	b0247	-	-	CP4-6 prophage; RadC-like JAB domain protein
264748..265206	-	152	1786442	yafX	b0248	-	-	CP4-6 prophage; uncharacterized protein
265304..265543	-	79	1786443	ykfF	b0249	-	-	CP4-6 prophage; uncharacterized protein
265620..266087	-	155	1786444	ykfB	b0250	-	-	CP4-6 prophage; uncharacterized protein
266110..266553	-	147	145693094	yafY	b0251	-	-	lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage
267184..268005	-	273	87081705	yafZ	b0252	-	-	CP4-6 prophage; conserved protein
268097..268960	-	287	87081706	ykfA	b0253	-	-	CP4-6 prophage; putative GTP-binding protein
269289..270182	-	297	1786448	perR	b0254	-	-	CP4-6 prophage; putative DNA-binding transcriptional regulator
270603..271754	+	383	1786450	insI1	b0256	-	-	IS30 transposase
274101..275117	-	338	1786453	insH1	b0259	-	-	IS5 transposase and trans-activator
275325..276728	+	467	87081708	mmuP	b0260	-	-	CP4-6 prophage; putative S-methylmethionine transporter
276715..277647	+	310	1786456	mmuM	b0261	-	-	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase
277756..278802	-	348	87081709	afuC	b0262	-	-	CP4-6 prophage; putative ferric transporter subunit
279178..279681	-	167	1786459	insB1	b0264	-	-	IS1 transposase B
279600..279875	-	91	1786460	insA	b0265	-	-	IS1 repressor TnpA
280829..281983	-	384	1786462	yagA	b0267	-	-	CP4-6 prophage; putative DNA-binding transcriptional regulator
282278..283186	+	302	345297170	yagE	b0268	-	-	2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage
283201..285168	+	655	1786464	yagF	b0269	-	-	CP4-6 prophage; dehydratase family protein
285395..286777	+	460	1786466	yagG	b0270	-	-	CP4-6 prophage; putative sugar transporter
286789..288399	+	536	1786467	yagH	b0271	-	-	CP4-6 prophage; putative xylosidase/arabinosidase
288404..289162	-	252	1786468	yagI	b0272	-	-	CP4-6 prophage; putative DNA-binding transcriptional regulator
289301..290305	-	334	1786469	argF	b0273	-	-	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage
290649..291152	-	167	1786470	insB1	b0274	-	-	IS1 transposase B
291071..291346	-	91	1786471	insA	b0275	-	-	IS1 repressor TnpA
292322..292948	-	208	1786473	yagK	b0277	-	-	CP4-6 prophage; conserved protein
293220..293918	-	232	1786474	yagL	b0278	-	-	CP4-6 prophage; DNA-binding protein
293945..294799	-	284	2367101	yagM	b0279	-	-	CP4-6 prophage; uncharacterized protein
295139..295579	-	146	2367102	yagN	b0280	-	-	CP4-6 prophage; uncharacterized protein
295696..297096	-	466	2367104	intF	b0281	-	-	CP4-6 prophage; putative phage integrase
297770..298726	-	318	1786477	paoD	b0283	-	-	moco insertion factor for PaoABC aldehyde oxidoreductase
298736..300934	-	732	1786478	paoC	b0284	-	-	PaoABC aldehyde oxidoreductase, Moco-containing subunit
300931..301887	-	318	1786479	paoB	b0285	-	-	PaoABC aldehyde oxidoreductase, FAD-containing subunit
301884..302573	-	229	1786480	paoA	b0286	-	-	PaoABC aldehyde oxidoreductase, 2Fe-2S subunit
302991..303605	+	204	1786481	yagU	b0287	-	-	DUF1440 family inner membrane protein
303853..304182	-	109	2367105	ykgJ	b0288	-	-	UPF0153 cysteine cluster protein
304495..305205	-	236	87081712	ecpE	b0289	-	-	ECP production pilus chaperone
305174..306817	-	547	1786483	ecpD	b0290	-	-	polymerized tip adhesin of ECP fibers
306807..309332	-	841	1786484	ecpC	b0291	-	-	ECP production outer membrane protein
309358..310026	-	222	1786485	ecpB	b0292	-	-	ECP production pilus chaperone
310084..310671	-	195	1786486	ecpA	b0293	-	-	ECP pilin
310746..311336	-	196	2367106	ecpR	b0294	-	-	putative transcriptional regulator for the ecp operon
312112..312339	+	75	2367107	ykgL	b0295	-	-	uncharacterized protein
312374..312514	-	46	87081713	ykgO	b4506	-	-	RpmJ-like protein
312514..312777	-	87	2367109	ykgM	b0296	-	-	50S ribosomal protein L31 type B; alternative L31 utilized during zinc limitation
313141..313242	-	33	226510926	ykgR	b4671	-	-	uncharacterized protein
315291..315590	+	99	226510927	insE1	b0298	-	-	IS3 transposase A
315587..316453	+	288	1786490	insF1	b0299	-	-	IS3 transposase B
317726..318319	-	197	87081715	rclC	b0301	-	-	reactive chlorine species (RCS) stress resistance inner membrane protein
318331..318567	-	78	87081716	rclB	b0303	-	-	reactive chlorine species (RCS) stress resistance periplasmic protein
318676..320001	-	441	87081717	rclA	b0304	-	-	reactive chlorine stress species (RCS) resistance protein; pyridine nucleotide-dependent disulfide oxidoreductase family
320227..321081	+	284	1786496	rclR	b0305	-	-	reactive chlorine species (RCS)-specific activator of the rcl genes
321608..322327	+	239	1786497	ykgE	b0306	-	-	cysteine-rich LutA family protein; putative electron transport chain YkgEFG component
322338..323765	+	475	1786498	ykgF	b0307	-	-	ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component
323758..324453	+	231	87081718	ykgG	b0308	-	-	LutC family protein; putative electron transport chain YkgEFG component
324696..325364	-	222	1786502	ykgH	b0310	-	-	putative inner membrane protein
325577..327247	-	556	1786503	betA	b0311	-	-	choline dehydrogenase, a flavoprotein
327261..328733	-	490	1786504	betB	b0312	-	-	betaine aldehyde dehydrogenase, NAD-dependent
328747..329334	-	195	1786505	betI	b0313	-	-	choline-inducible betIBA-betT divergent operon transcriptional repressor
329463..331496	+	677	1786506	betT	b0314	-	-	choline transporter of high affinity
332371..333459	+	362	1786507	yahA	b0315	-	-	c-di-GMP-specific phosphodiesterase
333501..334433	-	310	1786508	yahB	b0316	-	-	putative DNA-bindng transcriptional regulator
334525..335022	-	165	1786509	yahC	b0317	-	-	putative inner membrane protein
335280..335885	+	201	1786511	yahD	b0318	-	-	ankyrin repeat protein
335925..336788	+	287	1786512	yahE	b0319	-	-	DUF2877 family protein
336778..338325	+	515	1786513	yahF	b0320	-	-	putative NAD(P)-binding succinyl-CoA synthase
338325..339743	+	472	1786514	yahG	b0321	-	-	DUF1116 family protein
340165..341115	+	316	1786516	yahI	b0323	-	-	carbamate kinase-like protein
341125..342507	+	460	1786517	yahJ	b0324	-	-	putative metallo-dependent hydrolase domain deaminase
